candidate_id,group_key,group_label,group_a,group_b,metric,metric_label,classification_cutoff,accuracy_pp,fairness_disparity_pp,group_a_n,group_b_n,group_a_positive_n,group_b_positive_n,group_a_negative_n,group_b_negative_n,group_a_tp,group_a_fp,group_a_tn,group_a_fn,group_b_tp,group_b_fp,group_b_tn,group_b_fn,group_a_selection_rate,group_b_selection_rate,group_a_tpr,group_b_tpr,group_a_fpr,group_b_fpr,point_valid,invalid_reason
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.05,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.06,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.07,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.08,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.09,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.10,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.11,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.12,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.13,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.14,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.15,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.16,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.17,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.18,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.19,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.20,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.21,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.22,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.23,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
